Starting collecting data from https://romy.pythonanywhere.com/check/

--- Checking position 1 ---
https://romy.pythonanywhere.com/check/           ^
POS: 2 | CHAR: W | TIME: 1.8381568491458893
POS: 2 | CHAR: X | TIME: 1.863248884677887
POS: 2 | CHAR: Y | TIME: 1.8276180922985077
POS: 2 | CHAR: Z | TIME: 1.8478199243545532
POS: 2 | CHAR: 1 | TIME: 1.849170105797904
POS: 2 | CHAR: 2 | TIME: 1.6792081083570207
POS: 2 | CHAR: 3 | TIME: 1.888108287538801
POS: 2 | CHAR: 4 | TIME: 1.8383026917775471
POS: 2 | CHAR: 5 | TIME: 1.7933008330208915
POS: 2 | CHAR: 6 | TIME: 1.8317543029785157
POS: 2 | CHAR: 7 | TIME: 1.844696084658305
POS: 2 | CHAR: 8 | TIME: 1.76615571975708
POS: 2 | CHAR: 9 | TIME: 1.8265071213245392
POS: 2 | CHAR: 0 | TIME: 1.8539719879627228

--- Checking position 3 ---
https://romy.pythonanywhere.com/check/         ^^^
POS: 3 | CHAR: a | TIME: 1.8516371931348528
POS: 3 | CHAR: b | TIME: 1.870406014578683
POS: 3 | CHAR: c | TIME: 1.8361711161477225
POS: 3 | CHAR: d | TIME: 1.8092823326587677
POS: 3 | CHAR: e | TIME: 1.8114980459213257
POS: 3 | CHAR: f | TIME: 1.8371230363845825
POS: 3 | CHAR: g | TIME: 1.8105462491512299
POS: 3 | CHAR: h | TIME: 1.8318783283233642
POS: 3 | CHAR: i | TIME: 1.8038895726203918
POS: 3 | CHAR: j | TIME: 1.7905851432255335
POS: 3 | CHAR: k | TIME: 1.8426533043384552
POS: 3 | CHAR: l | TIME: 1.8432435989379883
POS: 3 | CHAR: m | TIME: 1.7861558198928833
POS: 3 | CHAR: n | TIME: 1.8306961740766252
POS: 3 | CHAR: o | TIME: 1.8470499118169148
POS: 3 | CHAR: p | TIME: 1.8341771960258484
POS: 3 | CHAR: q | TIME: 1.7838193689073836
POS: 3 | CHAR: r | TIME: 1.8860650062561035
POS: 3 | CHAR: s | TIME: 1.8430988107408797
POS: 3 | CHAR: t | TIME: 1.8431755602359772
POS: 3 | CHAR: u | TIME: 1.7831021149953206
POS: 3 | CHAR: v | TIME: 1.8353870809078217
POS: 3 | CHAR: w | TIME: 1.8041613101959229
POS: 3 | CHAR: x | TIME: 1.880258423941476
POS: 3 | CHAR: y | TIME: 1.839661329984665
POS: 3 | CHAR: z | TIME: 1.6824963688850403
POS: 3 | CHAR: A | TIME: 1.8302236000696819
POS: 3 | CHAR: B | TIME: 1.8792336285114288
POS: 3 | CHAR: C | TIME: 1.7725580334663391
POS: 3 | CHAR: D | TIME: 1.7990440845489502
POS: 3 | CHAR: E | TIME: 1.862541675567627
POS: 3 | CHAR: F | TIME: 1.8558998107910156
POS: 3 | CHAR: G | TIME: 1.8492469787597656
POS: 3 | CHAR: H | TIME: 1.7985957860946655
POS: 3 | CHAR: I | TIME: 1.8273723721504211
POS: 3 | CHAR: J | TIME: 1.804021954536438
POS: 3 | CHAR: K | TIME: 1.8052833080291748
POS: 3 | CHAR: L | TIME: 1.8222041428089142
POS: 3 | CHAR: M | TIME: 1.8596102396647136
POS: 3 | CHAR: N | TIME: 1.8541957437992096
POS: 3 | CHAR: O | TIME: 1.8829037189483642
POS: 3 | CHAR: P | TIME: 1.826738953590393
POS: 3 | CHAR: Q | TIME: 1.8124445378780365
POS: 3 | CHAR: R | TIME: 1.8248510701315743
POS: 3 | CHAR: S | TIME: 1.782740695135934
POS: 3 | CHAR: T | TIME: 1.8461505472660065
POS: 3 | CHAR: U | TIME: 1.8677917420864105
POS: 3 | CHAR: V | TIME: 1.7929885983467102
POS: 3 | CHAR: W | TIME: 1.793396268572126
POS: 3 | CHAR: X | TIME: 1.8711106479167938
POS: 3 | CHAR: Y | TIME: 1.8348856568336487
POS: 3 | CHAR: Z | TIME: 1.7941029071807861
POS: 3 | CHAR: 1 | TIME: 1.8714464051382882
POS: 3 | CHAR: 2 | TIME: 1.693258136510849
POS: 3 | CHAR: 3 | TIME: 1.8498577177524567
POS: 3 | CHAR: 4 | TIME: 1.8588275015354156
POS: 3 | CHAR: 5 | TIME: 1.79237961769104
POS: 3 | CHAR: 6 | TIME: 1.848228096961975
POS: 3 | CHAR: 7 | TIME: 1.675900161266327
POS: 3 | CHAR: 8 | TIME: 1.8751086294651031
POS: 3 | CHAR: 9 | TIME: 1.8407833874225616
POS: 3 | CHAR: 0 | TIME: 1.8689446449279785

--- Checking position 4 ---
https://romy.pythonanywhere.com/check/        ^^^^
POS: 4 | CHAR: a | TIME: 1.8298001970563615
POS: 4 | CHAR: b | TIME: 1.8236350417137146
POS: 4 | CHAR: c | TIME: 1.8275002479553222
POS: 4 | CHAR: d | TIME: 1.8173393862588065
POS: 4 | CHAR: e | TIME: 1.8393489718437195
POS: 4 | CHAR: f | TIME: 1.8653154373168945
POS: 4 | CHAR: g | TIME: 1.8127363324165344
POS: 4 | CHAR: h | TIME: 1.8025418281555177
POS: 4 | CHAR: i | TIME: 1.8335420063563757
POS: 4 | CHAR: j | TIME: 1.8605605363845825
POS: 4 | CHAR: k | TIME: 1.8507625758647919
POS: 4 | CHAR: l | TIME: 1.8514436880747478
POS: 4 | CHAR: m | TIME: 1.7000423499516077
POS: 4 | CHAR: n | TIME: 1.8320434093475342
POS: 4 | CHAR: o | TIME: 1.8277912437915802
POS: 4 | CHAR: p | TIME: 1.8000282049179077
POS: 4 | CHAR: q | TIME: 1.7991210733141219
POS: 4 | CHAR: r | TIME: 1.8189659799848283
POS: 4 | CHAR: s | TIME: 1.8150148732321603
POS: 4 | CHAR: t | TIME: 1.8692213694254558
POS: 4 | CHAR: u | TIME: 1.8747864663600922
POS: 4 | CHAR: v | TIME: 1.855664700269699
POS: 4 | CHAR: w | TIME: 1.8406741619110107
POS: 4 | CHAR: x | TIME: 1.8753627368382044
POS: 4 | CHAR: y | TIME: 1.8661065995693207
POS: 4 | CHAR: z | TIME: 1.7173283696174622
POS: 4 | CHAR: A | TIME: 1.8411015783037459
POS: 4 | CHAR: B | TIME: 1.8130550384521484
POS: 4 | CHAR: C | TIME: 1.8739582470485143
POS: 4 | CHAR: D | TIME: 1.8465493406568254
POS: 4 | CHAR: E | TIME: 1.8176484448569161
POS: 4 | CHAR: F | TIME: 1.8394736349582672
POS: 4 | CHAR: G | TIME: 1.7763030529022217
POS: 4 | CHAR: H | TIME: 1.8348092692238944
POS: 4 | CHAR: I | TIME: 1.8074701726436615
POS: 4 | CHAR: J | TIME: 1.805038183927536
POS: 4 | CHAR: K | TIME: 1.8324620723724365
POS: 4 | CHAR: L | TIME: 1.832349181175232
POS: 4 | CHAR: M | TIME: 1.8035642802715302
POS: 4 | CHAR: N | TIME: 1.826950877904892
POS: 4 | CHAR: O | TIME: 1.8380282521247864
POS: 4 | CHAR: P | TIME: 1.8323134183883667
POS: 4 | CHAR: Q | TIME: 1.799128810564677
POS: 4 | CHAR: R | TIME: 1.8288053274154663
POS: 4 | CHAR: S | TIME: 1.8623111844062805
POS: 4 | CHAR: T | TIME: 1.8603611588478088
POS: 4 | CHAR: U | TIME: 1.7966498533884685
POS: 4 | CHAR: V | TIME: 1.8364201188087463
POS: 4 | CHAR: W | TIME: 1.8644844123295374
POS: 4 | CHAR: X | TIME: 1.8300210535526276
POS: 4 | CHAR: Y | TIME: 1.866038829088211
POS: 4 | CHAR: Z | TIME: 1.8257020473480225
POS: 4 | CHAR: 1 | TIME: 1.8820037841796875
POS: 4 | CHAR: 2 | TIME: 1.6248008183070592
POS: 4 | CHAR: 3 | TIME: 1.8501492341359456
POS: 4 | CHAR: 4 | TIME: 1.8304519057273865
POS: 4 | CHAR: 5 | TIME: 1.8487904866536458
POS: 4 | CHAR: 6 | TIME: 1.8597306807835896
POS: 4 | CHAR: 7 | TIME: 1.651660340172904
POS: 4 | CHAR: 8 | TIME: 1.8359647137778146
